review_title	review_id	headlines_layer	headlines_serial	headlines_section_title	paper_id	title	abstract	author	citation_count	influential_citation_count	is_open_access	open_access_pdf	publication_types	ref_number	section_serial	tldr	url
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8	3	2.2.3	Flexibility	b3f7f1bb6667deff66ee99bf27103740c0fdd94c	A DIY approach to automating your lab		M. May	33	0	1	{"status":"BRONZE","url":"https://media.nature.com/original/magazine-assets/d41586-019-01590-z/d41586-019-01590-z.pdf"}	["News"]	1	2.2.3	{"model":"tldr@v2.0.0","text":"Do-it-yourself projects give researchers the equipment they need at bargain prices, but making your own technology requires commitment and time, and it is rarely easy."}	https://www.semanticscholar.org/paper/b3f7f1bb6667deff66ee99bf27103740c0fdd94c
		3	2.2.3	Flexibility													
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8				3972df22463038c12ae0011a17811bb617139753	A high-throughput chromatin immunoprecipitation approach reveals principles of dynamic gene regulation in mammals.		Manuel Garber	375	23	1	{"status":"BRONZE","url":"http://www.cell.com/article/S1097276512006570/pdf"}	["JournalArticle"]	2		{"model":"tldr@v2.0.0","text":"A high-throughput Chromatin ImmunoPrecipitation (HT-ChIP) method is developed to systematically map protein-DNA interactions and suggests a model for transcription regulation whereby TF networks are hierarchically organized into cell differentiation factors, factors that bind targets prior to stimulus to prime them for induction, and factors that regulate specific gene programs."}	https://www.semanticscholar.org/paper/3972df22463038c12ae0011a17811bb617139753
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8				452c437953b73ea95c5dece7a46ffe8e4b9dfa74	A scalable, fully automated process for construction of sequence-ready human exome targeted capture libraries		Sheila A Fisher	512	8	1	{"status":"HYBRID","url":"https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2011-12-1-r1"}	["JournalArticle"]	3		{"model":"tldr@v2.0.0","text":"An automated, highly scalable method for carrying out the Solution Hybrid Selection capture approach that provides a dramatic increase in scale and throughput of sequence-ready libraries produced is presented."}	https://www.semanticscholar.org/paper/452c437953b73ea95c5dece7a46ffe8e4b9dfa74
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8				abd565c41f0fa629dfe3f1083da4a00ce6bdd4b6	A structured approach		George Foster	0	0	0			4			https://www.semanticscholar.org/paper/abd565c41f0fa629dfe3f1083da4a00ce6bdd4b6
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8				eed57cf29dcfb8c6e5fea6cfdd54b0603c83e163	Abstract 18770: Elucidation of MRAS-Mediated Noonan Syndrome With Cardiac Hypertrophy	Introduction: Noonan syndrome (NS) is an autosomal dominant disorder with a characteristic clinical phenotype of facial dysmorphisms, short stature, and congenital heart defects. NS is a member of a family of developmental disorders termed “Rasopathies”, caused mainly by gain-of-function mutations in genes encoding RAS-mitogen-activated protein kinase (MAPK) signaling pathway proteins.Methods: Whole exome sequencing (WES) and trio-based genomic triangulation was performed on a 15-year old, female with a clinical diagnosis of NS and concomitant cardiac hypertrophy and her unaffected parents. Sequencing data was analyzed using Golden Helix VarSeq software with appropriate filters to identify rare, de novo variants or those inherited in a compound heterozygous or homozygous recessive manner. Homology-based modeling and molecular dynamic simulations (MDS) were performed for wildtype (WT) MRAS and the G23V-MRAS variant. Comparative analyses measured changes in bonding patterns, root-mean-square deviation (RMSD), and root-mean-square fluctuation (RMSF). A subsequent cohort analysis was performed and 110 phenotype-positive, genotype-negative NS patients were sequenced for additional NS-associated mutations in MRAS .Results: Following analysis and filtering, WES identified 176 candidate variants in 67 genes, and subsequent gene ranking identified MRAS (G23V) as the most likely novel NS-susceptibility gene. MRAS- encoded RAS-related protein 3 (MRAS) interacts directly with the MAPK pathway via SHOC2 and PP1. Molecular modeling, in silico mutagenesis, and MDS indicate that G23V-MRAS impacts effector interaction regions and the GTP binding site, supporting the notion that G23V-MRAS is an activated form of MRAS, akin to the established activating mutations at G13 in MRAS’ paralogue HRAS . Subsequent cohort analysis identified an additional rare, de novo T68I-MRAS missense mutation in a female NS patient.Conclusions: Herein, with the discovery of a two de novo variants (G23V and T68I) identified by WES or direct DNA sequencing, we have established MRAS as the newest NS-susceptibility gene. MRAS plays a crucial role in the NS-associated Ras/MAPK pathway and interacts directly with several previously identified NS-associated proteins.	Erin M. Higgins	68	4	0			5		{"model":"tldr@v2.0.0","text":"Molecular modeling and molecular dynamic simulations indicate that G23V-MRAS impacts effector interaction regions and the GTP binding site, supporting the notion that G23V-MRAS is an activated form of MRAS, akin to the established activating mutations at G13 in MRAS’ paralogue HRAS."}	https://www.semanticscholar.org/paper/eed57cf29dcfb8c6e5fea6cfdd54b0603c83e163
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8	2	2.1	Overview of technologies	760c788d4965f25135591b0bc84b7075772818b5	Acoustic Droplet Ejection Technology and Its Application in High-Throughput RNA Interference Screening	The development of acoustic droplet ejection (ADE) technology has resulted in many positive changes associated with the operations in a high-throughput screening (HTS) laboratory. Originally, this liquid transfer technology was used to simply transfer DMSO solutions of primarily compounds. With the introduction of Labcyte’s Echo 555, which has aqueous dispense capability, the application of this technology has been expanded beyond its original use. This includes the transfer of many biological reagents solubilized in aqueous buffers, including siRNAs. The Echo 555 is ideal for siRNA dispensing because it is accurate at low volumes and a step-down dilution is not necessary. The potential for liquid carryover and cross-contamination is eliminated, as no tips are needed. Herein, we describe the siRNA screening platform at Southern Research’s HTS Center using the ADE technology. With this technology, an siRNA library can be dispensed weeks or even months in advance of the assay itself. The protocol has been optimized to achieve assay parameters comparable to small-molecule screening parameters, and exceeding the norm reported for genomewide siRNA screens.	N. M. Nebane	4	0	1	{"status":"HYBRID","url":"https://journals.sagepub.com/doi/pdf/10.1177/2211068215620346"}	["JournalArticle"]	6	2.1	{"model":"tldr@v2.0.0","text":"The siRNA screening platform at Southern Research’s HTS Center using the ADE technology has been optimized to achieve assay parameters comparable to small-molecule screening parameters, and exceeding the norm reported for genomewide siRNA screens."}	https://www.semanticscholar.org/paper/760c788d4965f25135591b0bc84b7075772818b5
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8	3	2.2.6	Washing and decontamination	760c788d4965f25135591b0bc84b7075772818b5	Acoustic Droplet Ejection Technology and Its Application in High-Throughput RNA Interference Screening	The development of acoustic droplet ejection (ADE) technology has resulted in many positive changes associated with the operations in a high-throughput screening (HTS) laboratory. Originally, this liquid transfer technology was used to simply transfer DMSO solutions of primarily compounds. With the introduction of Labcyte’s Echo 555, which has aqueous dispense capability, the application of this technology has been expanded beyond its original use. This includes the transfer of many biological reagents solubilized in aqueous buffers, including siRNAs. The Echo 555 is ideal for siRNA dispensing because it is accurate at low volumes and a step-down dilution is not necessary. The potential for liquid carryover and cross-contamination is eliminated, as no tips are needed. Herein, we describe the siRNA screening platform at Southern Research’s HTS Center using the ADE technology. With this technology, an siRNA library can be dispensed weeks or even months in advance of the assay itself. The protocol has been optimized to achieve assay parameters comparable to small-molecule screening parameters, and exceeding the norm reported for genomewide siRNA screens.	N. M. Nebane	4	0	1	{"status":"HYBRID","url":"https://journals.sagepub.com/doi/pdf/10.1177/2211068215620346"}	["JournalArticle"]	7	2.2.6	{"model":"tldr@v2.0.0","text":"The siRNA screening platform at Southern Research’s HTS Center using the ADE technology has been optimized to achieve assay parameters comparable to small-molecule screening parameters, and exceeding the norm reported for genomewide siRNA screens."}	https://www.semanticscholar.org/paper/760c788d4965f25135591b0bc84b7075772818b5
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8	3	2.2.1	Scale of automation		Agilent Automation Solutions Portfolio FLEXIBLE AUTOMATION MADE EASY								8	2.2.1		
Unlocking the efficiency of genomics laboratories with robotic liquid-handling	69be0c67bc2af768561daf103ce8854e218558a8				eed8aab1e3b01e20a6658dedf03acdd9e7af721e	AHT-ChIP-seq: a completely automated robotic protocol for high-throughput chromatin immunoprecipitation		S. Aldridge	37	1	1	{"status":"HYBRID","url":"https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2013-14-11-r124"}	["JournalArticle"]	9		{"model":"tldr@v2.0.0","text":"A protocol for automated high-throughput (AHT) ChIP-seq is described, which can perform four hundred experiments in five days and demonstrates an extremely high degree of qualitative and quantitative reproducibility among biological and technical replicates."}	https://www.semanticscholar.org/paper/eed8aab1e3b01e20a6658dedf03acdd9e7af721e
